"area_code" "area" "months_code" "months" "element_code" "element" "year_code" "year" "unit" "value" "flag"
"1" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2010 2010 "°C" 1.567 "Fc"
"2" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2011 2011 "°C" 0.389 "Fc"
"3" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2012 2012 "°C" 1.23 "Fc"
"4" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2013 2013 "°C" 1.329 "Fc"
"5" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2014 2014 "°C" 1.073 "Fc"
"6" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2015 2015 "°C" 0.911 "Fc"
"7" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2016 2016 "°C" 1.576 "Fc"
"8" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2017 2017 "°C" 0.657 "Fc"
"9" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2018 2018 "°C" 1.948 "Fc"
"10" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2019 2019 "°C" 1.503 "Fc"
"11" 84 "Greece" 7020 "Meteorological year" 7271 "Temperature change" 2020 2020 "°C" 1.447 "Fc"
